Name	Description	Company	Type no	no of channels
SVC HR-1024	Spectra Vista HR-1024	Spectra Vista	1024	1024
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
575	1186.1	8.5
576	1190	8.5
577	1193.8	8.5
578	1197.6	8.5
579	1201.4	8.5
580	1205.3	8.5
581	1209.1	8.5
582	1212.9	8.5
583	1216.7	8.5
584	1220.5	8.5
585	1224.4	8.5
586	1228.2	8.5
587	1232	8.5
588	1235.8	8.5
589	1239.6	8.5
590	1243.4	8.5
591	1247.2	8.5
592	1251	8.5
593	1254.8	8.5
594	1258.7	8.5
595	1262.5	8.5
596	1266.2	8.5
597	1270	8.5
598	1273.8	8.5
599	1277.6	8.5
600	1281.4	8.5
601	1285.2	8.5
602	1289	8.5
603	1292.8	8.5
604	1296.6	8.5
605	1300.3	8.5
606	1304.1	8.5
607	1307.9	8.5
608	1311.7	8.5
609	1315.5	8.5
610	1319.2	8.5
611	1323	8.5
612	1326.8	8.5
613	1330.5	8.5
614	1334.3	8.5
615	1338.1	8.5
616	1341.8	8.5
617	1345.6	8.5
618	1349.3	8.5
619	1353.1	8.5
620	1356.8	8.5
621	1360.6	8.5
622	1364.3	8.5
623	1368.1	8.5
624	1371.8	8.5
625	1375.6	8.5
626	1379.3	8.5
627	1383	8.5
628	1386.8	8.5
629	1390.5	8.5
630	1394.2	8.5
631	1398	8.5
632	1401.7	8.5
633	1405.4	8.5
634	1409.1	8.5
635	1412.8	8.5
636	1416.5	8.5
637	1420.3	8.5
638	1424	8.5
639	1427.7	8.5
640	1431.4	8.5
641	1435.1	8.5
642	1438.8	8.5
643	1442.5	8.5
644	1446.2	8.5
645	1449.9	8.5
646	1453.5	8.5
647	1457.2	8.5
648	1460.9	8.5
649	1464.6	8.5
650	1468.3	8.5
651	1471.9	8.5
652	1475.6	8.5
653	1479.3	8.5
654	1483	8.5
655	1486.6	8.5
656	1490.3	8.5
657	1493.9	8.5
658	1497.6	8.5
659	1501.2	8.5
660	1504.9	8.5
661	1508.5	8.5
662	1512.2	8.5
663	1515.8	8.5
664	1519.4	8.5
665	1523.1	8.5
666	1526.7	8.5
667	1530.3	8.5
668	1534	8.5
669	1537.6	8.5
670	1541.2	8.5
671	1544.8	8.5
672	1548.4	8.5
673	1552	8.5
674	1555.6	8.5
675	1559.2	8.5
676	1562.8	8.5
677	1566.4	8.5
678	1570	8.5
679	1573.6	8.5
680	1577.2	8.5
681	1580.8	8.5
682	1584.3	8.5
683	1587.9	8.5
684	1591.5	8.5
685	1595	8.5
686	1598.6	8.5
687	1602.2	8.5
688	1605.7	8.5
689	1609.3	8.5
690	1612.8	8.5
691	1616.4	8.5
692	1619.9	8.5
693	1623.5	8.5
694	1627	8.5
695	1630.5	8.5
696	1634	8.5
697	1637.6	8.5
698	1641.1	8.5
699	1644.6	8.5
700	1648.1	8.5
701	1651.6	8.5
702	1655.1	8.5
703	1658.6	8.5
704	1662.1	8.5
705	1665.6	8.5
706	1669.1	8.5
707	1672.6	8.5
708	1676.1	8.5
709	1679.6	8.5
710	1683	8.5
711	1686.5	8.5
712	1690	8.5
713	1693.4	8.5
714	1696.9	8.5
715	1700.3	8.5
716	1703.8	8.5
717	1707.2	8.5
718	1710.7	8.5
719	1714.1	8.5
720	1717.6	8.5
721	1721	8.5
722	1724.4	8.5
723	1727.8	8.5
724	1731.2	8.5
725	1734.7	8.5
726	1738.1	8.5
727	1741.5	8.5
728	1744.9	8.5
729	1748.3	8.5
730	1751.7	8.5
731	1755	8.5
732	1758.4	8.5
733	1761.8	8.5
734	1765.2	8.5
735	1768.6	8.5
736	1771.9	8.5
737	1775.3	8.5
738	1778.6	8.5
739	1782	8.5
740	1785.3	8.5
741	1788.7	8.5
742	1792	8.5
743	1795.3	8.5
744	1798.7	8.5
745	1802	8.5
746	1805.3	8.5
747	1808.6	8.5
748	1812	8.5
749	1815.3	8.5
750	1818.6	8.5
751	1821.8	8.5
752	1825.2	8.5
753	1828.4	8.5
754	1831.7	8.5
755	1835	8.5
756	1838.3	8.5
757	1841.5	8.5
758	1844.8	8.5
759	1848	8.5
760	1851.3	6.5
761	1854.5	6.5
762	1857.8	6.5
763	1861	6.5
764	1864.3	6.5
765	1867.5	6.5
766	1870.7	6.5
767	1873.9	6.5
768	1877.2	6.5
769	1876.7	6.5
770	1879.5	6.5
771	1882.3	6.5
772	1885.1	6.5
773	1887.9	6.5
774	1890.7	6.5
775	1893.5	6.5
776	1896.3	6.5
777	1899.1	6.5
778	1901.9	6.5
779	1904.7	6.5
780	1907.4	6.5
781	1910.2	6.5
782	1913	6.5
783	1915.8	6.5
784	1918.5	6.5
785	1921.3	6.5
786	1924.1	6.5
787	1926.8	6.5
788	1929.6	6.5
789	1932.3	6.5
790	1935.1	6.5
791	1937.8	6.5
792	1940.6	6.5
793	1943.3	6.5
794	1946.1	6.5
795	1948.8	6.5
796	1951.6	6.5
797	1954.3	6.5
798	1957	6.5
799	1959.8	6.5
800	1962.5	6.5
801	1965.2	6.5
802	1967.9	6.5
803	1970.6	6.5
804	1973.4	6.5
805	1976.1	6.5
806	1978.8	6.5
807	1981.5	6.5
808	1984.2	6.5
809	1986.9	6.5
810	1989.6	6.5
811	1992.3	6.5
812	1995	6.5
813	1997.7	6.5
814	2000.4	6.5
815	2003.1	6.5
816	2005.8	6.5
817	2008.4	6.5
818	2011.1	6.5
819	2013.8	6.5
820	2016.5	6.5
821	2019.1	6.5
822	2021.8	6.5
823	2024.5	6.5
824	2027.1	6.5
825	2029.8	6.5
826	2032.4	6.5
827	2035.1	6.5
828	2037.8	6.5
829	2040.4	6.5
830	2043	6.5
831	2045.7	6.5
832	2048.3	6.5
833	2051	6.5
834	2053.6	6.5
835	2056.2	6.5
836	2058.9	6.5
837	2061.5	6.5
838	2064.1	6.5
839	2066.8	6.5
