Name	Description	Company	Type no	no of channels
OOHR_VNIR	Ocean Optics High Resolution VNIR	OceanOptics	4	3845
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
576	336	0.5
577	336.24	0.5
578	336.48	0.5
579	336.72	0.5
580	336.96	0.5
581	337.2	0.5
582	337.44	0.5
583	337.68	0.5
584	337.92	0.5
585	338.16	0.5
586	338.4	0.5
587	338.64	0.5
588	338.88	0.5
589	339.12	0.5
590	339.36	0.5
591	339.6	0.5
592	339.84	0.5
593	340.08	0.5
594	340.32	0.5
595	340.56	0.5
596	340.8	0.5
597	341.04	0.5
598	341.28	0.5
599	341.52	0.5
600	341.76	0.5
601	342	0.5
602	342.24	0.5
603	342.48	0.5
604	342.72	0.5
605	342.96	0.5
606	343.2	0.5
607	343.44	0.5
608	343.68	0.5
609	343.92	0.5
610	344.16	0.5
611	344.4	0.5
612	344.64	0.5
613	344.88	0.5
614	345.12	0.5
615	345.36	0.5
616	345.6	0.5
617	345.84	0.5
618	346.08	0.5
619	346.32	0.5
620	346.56	0.5
621	346.8	0.5
622	347.04	0.5
623	347.28	0.5
624	347.52	0.5
625	347.76	0.5
626	348	0.5
627	348.24	0.5
628	348.48	0.5
629	348.72	0.5
630	348.96	0.5
631	349.2	0.5
632	349.44	0.5
633	349.68	0.5
634	349.92	0.5
635	350.16	0.5
636	350.4	0.5
637	350.64	0.5
638	350.88	0.5
639	351.12	0.5
640	351.36	0.5
641	351.6	0.5
642	351.84	0.5
643	352.08	0.5
644	352.32	0.5
645	352.56	0.5
646	352.8	0.5
647	353.04	0.5
648	353.28	0.5
649	353.52	0.5
650	353.76	0.5
651	354	0.5
652	354.24	0.5
653	354.48	0.5
654	354.72	0.5
655	354.96	0.5
656	355.2	0.5
657	355.44	0.5
658	355.68	0.5
659	355.92	0.5
660	356.16	0.5
661	356.4	0.5
662	356.64	0.5
663	356.88	0.5
664	357.12	0.5
665	357.36	0.5
666	357.6	0.5
667	357.84	0.5
668	358.08	0.5
669	358.32	0.5
670	358.56	0.5
671	358.8	0.5
672	359.04	0.5
673	359.28	0.5
674	359.52	0.5
675	359.76	0.5
676	360	0.5
677	360.24	0.5
678	360.48	0.5
679	360.72	0.5
680	360.96	0.5
681	361.2	0.5
682	361.44	0.5
683	361.68	0.5
684	361.92	0.5
685	362.16	0.5
686	362.4	0.5
687	362.64	0.5
688	362.88	0.5
689	363.12	0.5
690	363.36	0.5
691	363.6	0.5
692	363.84	0.5
693	364.08	0.5
694	364.32	0.5
695	364.56	0.5
696	364.8	0.5
697	365.04	0.5
698	365.28	0.5
699	365.52	0.5
700	365.76	0.5
701	366	0.5
702	366.24	0.5
703	366.48	0.5
704	366.72	0.5
705	366.96	0.5
706	367.2	0.5
707	367.44	0.5
708	367.68	0.5
709	367.92	0.5
710	368.16	0.5
711	368.4	0.5
712	368.64	0.5
713	368.88	0.5
714	369.12	0.5
715	369.36	0.5
716	369.6	0.5
717	369.84	0.5
718	370.08	0.5
719	370.32	0.5
720	370.56	0.5
721	370.8	0.5
722	371.04	0.5
723	371.28	0.5
724	371.52	0.5
725	371.76	0.5
726	372	0.5
727	372.24	0.5
728	372.48	0.5
729	372.72	0.5
730	372.96	0.5
731	373.2	0.5
732	373.44	0.5
733	373.68	0.5
734	373.92	0.5
735	374.16	0.5
736	374.4	0.5
737	374.64	0.5
738	374.88	0.5
739	375.12	0.5
740	375.36	0.5
741	375.6	0.5
742	375.84	0.5
743	376.08	0.5
744	376.32	0.5
745	376.56	0.5
746	376.8	0.5
747	377.04	0.5
748	377.28	0.5
749	377.52	0.5
750	377.76	0.5
751	378	0.5
752	378.24	0.5
753	378.48	0.5
754	378.72	0.5
755	378.96	0.5
756	379.2	0.5
757	379.44	0.5
758	379.68	0.5
759	379.92	0.5
760	380.16	0.5
761	380.4	0.5
762	380.64	0.5
763	380.88	0.5
764	381.12	0.5
765	381.36	0.5
766	381.6	0.5
767	381.84	0.5
768	382.08	0.5
769	382.32	0.5
770	382.56	0.5
771	382.8	0.5
772	383.04	0.5
773	383.28	0.5
774	383.52	0.5
775	383.76	0.5
776	384	0.5
777	384.24	0.5
778	384.48	0.5
779	384.72	0.5
780	384.96	0.5
781	385.2	0.5
782	385.44	0.5
783	385.68	0.5
784	385.92	0.5
785	386.16	0.5
786	386.4	0.5
787	386.64	0.5
788	386.88	0.5
789	387.12	0.5
790	387.36	0.5
791	387.6	0.5
792	387.84	0.5
793	388.08	0.5
794	388.32	0.5
795	388.56	0.5
796	388.8	0.5
797	389.04	0.5
798	389.28	0.5
799	389.52	0.5
800	389.76	0.5
801	390	0.5
802	390.24	0.5
803	390.48	0.5
804	390.72	0.5
805	390.96	0.5
806	391.2	0.5
807	391.44	0.5
808	391.68	0.5
809	391.92	0.5
810	392.16	0.5
811	392.4	0.5
812	392.64	0.5
813	392.88	0.5
814	393.12	0.5
815	393.36	0.5
816	393.6	0.5
817	393.84	0.5
818	394.08	0.5
819	394.32	0.5
820	394.56	0.5
821	394.8	0.5
822	395.04	0.5
823	395.28	0.5
824	395.52	0.5
825	395.76	0.5
826	396	0.5
827	396.24	0.5
828	396.48	0.5
829	396.72	0.5
830	396.96	0.5
831	397.2	0.5
832	397.44	0.5
833	397.68	0.5
834	397.92	0.5
835	398.16	0.5
836	398.4	0.5
837	398.64	0.5
838	398.88	0.5
839	399.12	0.5
840	399.36	0.5
841	399.6	0.5
842	399.84	0.5
843	400.08	0.5
844	400.32	0.5
845	400.56	0.5
846	400.8	0.5
847	401.04	0.5
848	401.28	0.5
849	401.52	0.5
850	401.76	0.5
851	402	0.5
852	402.24	0.5
853	402.48	0.5
854	402.72	0.5
855	402.96	0.5
856	403.2	0.5
857	403.44	0.5
858	403.68	0.5
859	403.92	0.5
860	404.16	0.5
861	404.4	0.5
862	404.64	0.5
863	404.88	0.5
864	405.12	0.5
865	405.36	0.5
866	405.6	0.5
867	405.84	0.5
868	406.08	0.5
869	406.32	0.5
870	406.56	0.5
871	406.8	0.5
872	407.04	0.5
873	407.28	0.5
874	407.52	0.5
875	407.76	0.5
876	408	0.5
877	408.24	0.5
878	408.48	0.5
879	408.72	0.5
880	408.96	0.5
881	409.2	0.5
882	409.44	0.5
883	409.68	0.5
884	409.92	0.5
885	410.16	0.5
886	410.4	0.5
887	410.64	0.5
888	410.88	0.5
889	411.12	0.5
890	411.36	0.5
891	411.6	0.5
892	411.84	0.5
893	412.08	0.5
894	412.32	0.5
895	412.56	0.5
896	412.8	0.5
897	413.04	0.5
898	413.28	0.5
899	413.52	0.5
900	413.76	0.5
901	414	0.5
902	414.24	0.5
903	414.48	0.5
904	414.72	0.5
905	414.96	0.5
906	415.2	0.5
907	415.44	0.5
908	415.68	0.5
909	415.92	0.5
910	416.16	0.5
911	416.4	0.5
912	416.64	0.5
913	416.88	0.5
914	417.12	0.5
915	417.36	0.5
916	417.6	0.5
917	417.84	0.5
918	418.08	0.5
919	418.32	0.5
920	418.56	0.5
921	418.8	0.5
922	419.04	0.5
923	419.28	0.5
924	419.52	0.5
925	419.76	0.5
926	420	0.5
927	420.24	0.5
928	420.48	0.5
929	420.72	0.5
930	420.96	0.5
931	421.2	0.5
932	421.44	0.5
933	421.68	0.5
934	421.92	0.5
935	422.16	0.5
936	422.4	0.5
937	422.64	0.5
938	422.88	0.5
939	423.12	0.5
940	423.36	0.5
941	423.6	0.5
942	423.84	0.5
943	424.08	0.5
944	424.32	0.5
945	424.56	0.5
946	424.8	0.5
947	425.04	0.5
948	425.28	0.5
949	425.52	0.5
950	425.76	0.5
951	426	0.5
952	426.24	0.5
953	426.48	0.5
954	426.72	0.5
955	426.96	0.5
956	427.2	0.5
957	427.44	0.5
958	427.68	0.5
959	427.92	0.5
960	428.16	0.5
961	428.4	0.5
962	428.64	0.5
963	428.88	0.5
964	429.12	0.5
965	429.36	0.5
966	429.6	0.5
967	429.84	0.5
968	430.08	0.5
969	430.32	0.5
970	430.56	0.5
971	430.8	0.5
972	431.04	0.5
973	431.28	0.5
974	431.52	0.5
975	431.76	0.5
976	432	0.5
977	432.24	0.5
978	432.48	0.5
979	432.72	0.5
980	432.96	0.5
981	433.2	0.5
982	433.44	0.5
983	433.68	0.5
984	433.92	0.5
985	434.16	0.5
986	434.4	0.5
987	434.64	0.5
988	434.88	0.5
989	435.12	0.5
990	435.36	0.5
991	435.6	0.5
992	435.84	0.5
993	436.08	0.5
994	436.32	0.5
995	436.56	0.5
996	436.8	0.5
997	437.04	0.5
998	437.28	0.5
999	437.52	0.5
1000	437.76	0.5
1001	438	0.5
1002	438.24	0.5
1003	438.48	0.5
1004	438.72	0.5
1005	438.96	0.5
1006	439.2	0.5
1007	439.44	0.5
1008	439.68	0.5
1009	439.92	0.5
1010	440.16	0.5
1011	440.4	0.5
1012	440.64	0.5
1013	440.88	0.5
1014	441.12	0.5
1015	441.36	0.5
1016	441.6	0.5
1017	441.84	0.5
1018	442.08	0.5
1019	442.32	0.5
1020	442.56	0.5
1021	442.8	0.5
