Name	Description	Company	Type no	no of channels
APOGEE PAR-NIR	APOGEE PAR-NIR	APOGEE	100	1100
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
535	667	0.5
536	667.5	0.5
537	668	0.5
538	668.5	0.5
539	669	0.5
540	669.5	0.5
541	670	0.5
542	670.5	0.5
543	671	0.5
544	671.5	0.5
545	672	0.5
546	672.5	0.5
547	673	0.5
548	673.5	0.5
549	674	0.5
550	674.5	0.5
551	675	0.5
552	675.5	0.5
553	676	0.5
554	676.5	0.5
555	677	0.5
556	677.5	0.5
557	678	0.5
558	678.5	0.5
559	679	0.5
560	679.5	0.5
561	680	0.5
562	680.5	0.5
563	681	0.5
564	681.5	0.5
565	682	0.5
566	682.5	0.5
567	683	0.5
568	683.5	0.5
569	684	0.5
570	684.5	0.5
571	685	0.5
572	685.5	0.5
573	686	0.5
574	686.5	0.5
575	687	0.5
576	687.5	0.5
577	688	0.5
578	688.5	0.5
579	689	0.5
580	689.5	0.5
581	690	0.5
582	690.5	0.5
583	691	0.5
584	691.5	0.5
585	692	0.5
586	692.5	0.5
587	693	0.5
588	693.5	0.5
589	694	0.5
590	694.5	0.5
591	695	0.5
592	695.5	0.5
593	696	0.5
594	696.5	0.5
595	697	0.5
596	697.5	0.5
597	698	0.5
598	698.5	0.5
599	699	0.5
600	699.5	0.5
601	700	0.5
602	700.5	0.5
603	701	0.5
604	701.5	0.5
605	702	0.5
606	702.5	0.5
607	703	0.5
608	703.5	0.5
609	704	0.5
610	704.5	0.5
611	705	0.5
612	705.5	0.5
613	706	0.5
614	706.5	0.5
615	707	0.5
616	707.5	0.5
617	708	0.5
618	708.5	0.5
619	709	0.5
620	709.5	0.5
621	710	0.5
622	710.5	0.5
623	711	0.5
624	711.5	0.5
625	712	0.5
626	712.5	0.5
627	713	0.5
628	713.5	0.5
629	714	0.5
630	714.5	0.5
631	715	0.5
632	715.5	0.5
633	716	0.5
634	716.5	0.5
635	717	0.5
636	717.5	0.5
637	718	0.5
638	718.5	0.5
639	719	0.5
640	719.5	0.5
641	720	0.5
642	720.5	0.5
643	721	0.5
644	721.5	0.5
645	722	0.5
646	722.5	0.5
647	723	0.5
648	723.5	0.5
649	724	0.5
650	724.5	0.5
651	725	0.5
652	725.5	0.5
653	726	0.5
654	726.5	0.5
655	727	0.5
656	727.5	0.5
657	728	0.5
658	728.5	0.5
659	729	0.5
660	729.5	0.5
661	730	0.5
662	730.5	0.5
663	731	0.5
664	731.5	0.5
665	732	0.5
666	732.5	0.5
667	733	0.5
668	733.5	0.5
669	734	0.5
670	734.5	0.5
671	735	0.5
672	735.5	0.5
673	736	0.5
674	736.5	0.5
675	737	0.5
676	737.5	0.5
677	738	0.5
678	738.5	0.5
679	739	0.5
680	739.5	0.5
681	740	0.5
682	740.5	0.5
683	741	0.5
684	741.5	0.5
685	742	0.5
686	742.5	0.5
687	743	0.5
688	743.5	0.5
689	744	0.5
690	744.5	0.5
691	745	0.5
692	745.5	0.5
693	746	0.5
694	746.5	0.5
695	747	0.5
696	747.5	0.5
697	748	0.5
698	748.5	0.5
699	749	0.5
700	749.5	0.5
701	750	0.5
702	750.5	0.5
703	751	0.5
704	751.5	0.5
705	752	0.5
706	752.5	0.5
707	753	0.5
708	753.5	0.5
709	754	0.5
710	754.5	0.5
711	755	0.5
712	755.5	0.5
713	756	0.5
714	756.5	0.5
715	757	0.5
716	757.5	0.5
717	758	0.5
718	758.5	0.5
719	759	0.5
720	759.5	0.5
721	760	0.5
722	760.5	0.5
723	761	0.5
724	761.5	0.5
725	762	0.5
726	762.5	0.5
727	763	0.5
728	763.5	0.5
729	764	0.5
730	764.5	0.5
731	765	0.5
732	765.5	0.5
733	766	0.5
734	766.5	0.5
735	767	0.5
736	767.5	0.5
737	768	0.5
738	768.5	0.5
739	769	0.5
740	769.5	0.5
741	770	0.5
742	770.5	0.5
743	771	0.5
744	771.5	0.5
745	772	0.5
746	772.5	0.5
747	773	0.5
748	773.5	0.5
749	774	0.5
750	774.5	0.5
751	775	0.5
752	775.5	0.5
753	776	0.5
754	776.5	0.5
755	777	0.5
756	777.5	0.5
757	778	0.5
758	778.5	0.5
759	779	0.5
760	779.5	0.5
761	780	0.5
762	780.5	0.5
763	781	0.5
764	781.5	0.5
765	782	0.5
766	782.5	0.5
767	783	0.5
768	783.5	0.5
769	784	0.5
770	784.5	0.5
771	785	0.5
772	785.5	0.5
773	786	0.5
774	786.5	0.5
775	787	0.5
776	787.5	0.5
777	788	0.5
778	788.5	0.5
779	789	0.5
780	789.5	0.5
781	790	0.5
782	790.5	0.5
783	791	0.5
784	791.5	0.5
785	792	0.5
786	792.5	0.5
787	793	0.5
788	793.5	0.5
789	794	0.5
790	794.5	0.5
791	795	0.5
792	795.5	0.5
793	796	0.5
794	796.5	0.5
795	797	0.5
796	797.5	0.5
797	798	0.5
798	798.5	0.5
799	799	0.5
800	799.5	0.5
801	800	0.5
802	800.5	0.5
803	801	0.5
804	801.5	0.5
805	802	0.5
806	802.5	0.5
807	803	0.5
808	803.5	0.5
809	804	0.5
810	804.5	0.5
811	805	0.5
812	805.5	0.5
813	806	0.5
814	806.5	0.5
815	807	0.5
816	807.5	0.5
817	808	0.5
818	808.5	0.5
819	809	0.5
820	809.5	0.5
821	810	0.5
822	810.5	0.5
823	811	0.5
824	811.5	0.5
825	812	0.5
826	812.5	0.5
827	813	0.5
828	813.5	0.5
829	814	0.5
830	814.5	0.5
831	815	0.5
832	815.5	0.5
833	816	0.5
834	816.5	0.5
835	817	0.5
836	817.5	0.5
837	818	0.5
838	818.5	0.5
839	819	0.5
840	819.5	0.5
841	820	0.5
842	820.5	0.5
843	821	0.5
844	821.5	0.5
845	822	0.5
