Name	Description	Company	Type no	no of channels
OOHR_NIR	Ocean Optics High Resolution NIR	OceanOptics	4	4400
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
495	726.88	0.5
496	726.9	0.5
497	726.92	0.5
498	726.94	0.5
499	726.96	0.5
500	726.98	0.5
501	727	0.5
502	727.02	0.5
503	727.04	0.5
504	727.06	0.5
505	727.08	0.5
506	727.1	0.5
507	727.12	0.5
508	727.14	0.5
509	727.16	0.5
510	727.18	0.5
511	727.2	0.5
512	727.22	0.5
513	727.24	0.5
514	727.26	0.5
515	727.28	0.5
516	727.3	0.5
517	727.32	0.5
518	727.34	0.5
519	727.36	0.5
520	727.38	0.5
521	727.4	0.5
522	727.42	0.5
523	727.44	0.5
524	727.46	0.5
525	727.48	0.5
526	727.5	0.5
527	727.52	0.5
528	727.54	0.5
529	727.56	0.5
530	727.58	0.5
531	727.6	0.5
532	727.62	0.5
533	727.64	0.5
534	727.66	0.5
535	727.68	0.5
536	727.7	0.5
537	727.72	0.5
538	727.74	0.5
539	727.76	0.5
540	727.78	0.5
541	727.8	0.5
542	727.82	0.5
543	727.84	0.5
544	727.86	0.5
545	727.88	0.5
546	727.9	0.5
547	727.92	0.5
548	727.94	0.5
549	727.96	0.5
550	727.98	0.5
551	728	0.5
552	728.02	0.5
553	728.04	0.5
554	728.06	0.5
555	728.08	0.5
556	728.1	0.5
557	728.12	0.5
558	728.14	0.5
559	728.16	0.5
560	728.18	0.5
561	728.2	0.5
562	728.22	0.5
563	728.24	0.5
564	728.26	0.5
565	728.28	0.5
566	728.3	0.5
567	728.32	0.5
568	728.34	0.5
569	728.36	0.5
570	728.38	0.5
571	728.4	0.5
572	728.42	0.5
573	728.44	0.5
574	728.46	0.5
575	728.48	0.5
576	728.5	0.5
577	728.52	0.5
578	728.54	0.5
579	728.56	0.5
580	728.58	0.5
581	728.6	0.5
582	728.62	0.5
583	728.64	0.5
584	728.66	0.5
585	728.68	0.5
586	728.7	0.5
587	728.72	0.5
588	728.74	0.5
589	728.76	0.5
590	728.78	0.5
591	728.8	0.5
592	728.82	0.5
593	728.84	0.5
594	728.86	0.5
595	728.88	0.5
596	728.9	0.5
597	728.92	0.5
598	728.94	0.5
599	728.96	0.5
600	728.98	0.5
601	729	0.5
602	729.02	0.5
603	729.04	0.5
604	729.06	0.5
605	729.08	0.5
606	729.1	0.5
607	729.12	0.5
608	729.14	0.5
609	729.16	0.5
610	729.18	0.5
611	729.2	0.5
612	729.22	0.5
613	729.24	0.5
614	729.26	0.5
615	729.28	0.5
616	729.3	0.5
617	729.32	0.5
618	729.34	0.5
619	729.36	0.5
620	729.38	0.5
621	729.4	0.5
622	729.42	0.5
623	729.44	0.5
624	729.46	0.5
625	729.48	0.5
626	729.5	0.5
627	729.52	0.5
628	729.54	0.5
629	729.56	0.5
630	729.58	0.5
631	729.6	0.5
632	729.62	0.5
633	729.64	0.5
634	729.66	0.5
635	729.68	0.5
636	729.7	0.5
637	729.72	0.5
638	729.74	0.5
639	729.76	0.5
640	729.78	0.5
641	729.8	0.5
642	729.82	0.5
643	729.84	0.5
644	729.86	0.5
645	729.88	0.5
646	729.9	0.5
647	729.92	0.5
648	729.94	0.5
649	729.96	0.5
650	729.98	0.5
651	730	0.5
652	730.02	0.5
653	730.04	0.5
654	730.06	0.5
655	730.08	0.5
656	730.1	0.5
657	730.12	0.5
658	730.14	0.5
659	730.16	0.5
660	730.18	0.5
661	730.2	0.5
662	730.22	0.5
663	730.24	0.5
664	730.26	0.5
665	730.28	0.5
666	730.3	0.5
667	730.32	0.5
668	730.34	0.5
669	730.36	0.5
670	730.38	0.5
671	730.4	0.5
672	730.42	0.5
673	730.44	0.5
674	730.46	0.5
675	730.48	0.5
676	730.5	0.5
677	730.52	0.5
678	730.54	0.5
679	730.56	0.5
680	730.58	0.5
681	730.6	0.5
682	730.62	0.5
683	730.64	0.5
684	730.66	0.5
685	730.68	0.5
686	730.7	0.5
687	730.72	0.5
688	730.74	0.5
689	730.76	0.5
690	730.78	0.5
691	730.8	0.5
692	730.82	0.5
693	730.84	0.5
694	730.86	0.5
695	730.88	0.5
696	730.9	0.5
697	730.92	0.5
698	730.94	0.5
699	730.96	0.5
700	730.98	0.5
701	731	0.5
702	731.02	0.5
703	731.04	0.5
704	731.06	0.5
705	731.08	0.5
706	731.1	0.5
707	731.12	0.5
708	731.14	0.5
709	731.16	0.5
710	731.18	0.5
711	731.2	0.5
712	731.22	0.5
713	731.24	0.5
714	731.26	0.5
715	731.28	0.5
716	731.3	0.5
717	731.32	0.5
718	731.34	0.5
719	731.36	0.5
720	731.38	0.5
721	731.4	0.5
722	731.42	0.5
723	731.44	0.5
724	731.46	0.5
725	731.48	0.5
726	731.5	0.5
727	731.52	0.5
728	731.54	0.5
729	731.56	0.5
730	731.58	0.5
731	731.6	0.5
732	731.62	0.5
733	731.64	0.5
734	731.66	0.5
735	731.68	0.5
736	731.7	0.5
737	731.72	0.5
738	731.74	0.5
739	731.76	0.5
740	731.78	0.5
741	731.8	0.5
742	731.82	0.5
743	731.84	0.5
744	731.86	0.5
745	731.88	0.5
746	731.9	0.5
747	731.92	0.5
748	731.94	0.5
749	731.96	0.5
750	731.98	0.5
751	732	0.5
752	732.02	0.5
753	732.04	0.5
754	732.06	0.5
755	732.08	0.5
756	732.1	0.5
757	732.12	0.5
758	732.14	0.5
759	732.16	0.5
760	732.18	0.5
761	732.2	0.5
762	732.22	0.5
763	732.24	0.5
764	732.26	0.5
765	732.28	0.5
766	732.3	0.5
767	732.32	0.5
768	732.34	0.5
769	732.36	0.5
770	732.38	0.5
771	732.4	0.5
772	732.42	0.5
773	732.44	0.5
774	732.46	0.5
775	732.48	0.5
776	732.5	0.5
777	732.52	0.5
778	732.54	0.5
779	732.56	0.5
780	732.58	0.5
781	732.6	0.5
782	732.62	0.5
783	732.64	0.5
784	732.66	0.5
785	732.68	0.5
786	732.7	0.5
787	732.72	0.5
788	732.74	0.5
789	732.76	0.5
790	732.78	0.5
791	732.8	0.5
792	732.82	0.5
793	732.84	0.5
794	732.86	0.5
795	732.88	0.5
796	732.9	0.5
797	732.92	0.5
798	732.94	0.5
799	732.96	0.5
800	732.98	0.5
801	733	0.5
802	733.02	0.5
803	733.04	0.5
804	733.06	0.5
805	733.08	0.5
806	733.1	0.5
807	733.12	0.5
808	733.14	0.5
809	733.16	0.5
810	733.18	0.5
